"release_date","avg_price_week_prior","avg_price_week_after","percent_change"
"2010-02-17",1082.9100345,1096.015015,0.98804306481148
"2010-04-06",1179.880005,1190.9749755,0.990684127938673
"2010-05-19",1137.5,1097.539978,1.03640871658526
"2010-07-14",1062.075012,1091.1400145,0.973362719620068
"2010-08-31",1055.039978,1074.7399905,0.981669973506024
"2010-10-12",1152.4800415,1171.460022,0.983798012613699
"2010-11-23",1193.6500245,1187.7349855,1.00498009999892
"2011-01-04",1266.0249635,1272.7649535,0.994704450353174
"2011-02-16",1325.994995,1322.4749755,1.00266169081851
"2011-04-05",1320.700012,1326.994995,0.995256211949767
"2011-05-18",1341.5250245,1322.450012,1.01442399510523
"2011-07-12",1329.5999755,1313.3399655,1.01238065575337
"2011-08-30",1167.0599975,1191.8649905,0.979188084894083
"2011-10-12",1160.109985,1209.824951,0.958907306417422
"2011-11-22",1222.3399655,1192.7700195,1.02479098696025
"2012-01-03",1261.9400025,1269.8150025,0.993798309214731
"2012-02-15",1348.7800295,1356.3150025,0.994444525802552
"2012-04-03",1417.7650145,1400.580017,1.01226991481487
"2012-05-16",1346.98999,1323.4000245,1.01782527207441
"2012-08-22",1408.4899905,1411.204956,0.998076136645881
"2012-10-04",1442.2199705,1441.949951,1.00018725996683
"2012-11-14",1401.4550175,1381.215027,1.01465375781783
"2013-01-03",1441.125,1461.720032,0.985910412699332
"2013-02-20",1525.1849975,1513.939941,1.00742767674956
"2013-04-10",1569.4299925,1571.5899655,0.998625612884139
"2013-05-22",1659.26001,1662.9799805,0.997763069583747
"2013-07-10",1631.5200195,1664.7350465,0.980047859826203
"2013-08-21",1672.2700195,1640.455017,1.01939401091179
"2013-10-09",1674.445007,1678.73999,0.997441543642503
"2013-11-20",1776.9799805,1796.534973,0.989115161800972
"2014-02-19",1829.5100095,1842.3450315,0.993033323410898
"2014-04-09",1869.625,1849.3250125,1.01097697125318
"2014-05-21",1885.2349855,1892.554993,0.996132208825067
"2014-07-09",1969.0800175,1970.724976,0.999165302860606
"2014-08-20",1958.0299685,1990.5,0.983687499874403
"2014-10-08",1953.494995,1904.8650515,1.02552933787184
"2014-11-19",2044.454956,2059.2600095,0.992810498221837
"2015-01-07",2043.830078,2011.9750365,1.01583272203785
"2015-02-18",2083.8549805,2107.2299805,0.988907238309862
"2015-04-08",2072.284912,2087.3800045,0.992768402271049
"2015-05-20",2113.705078,2116.459961,0.99869835335855
"2015-07-08",2072.329956,2093.334961,0.989965769744769
"2015-08-19",2088.3950195,1984.2199705,1.05250176419389
"2015-10-08",1956.830017,1995.2399905,0.980749196245623
"2015-11-18",2067.699951,2070.6450195,0.998577704786545
"2016-01-06",2044.5250245,1976.0249635,1.03466558483081
"2016-02-17",1877.9500125,1908.180054,0.984157657744807
"2016-04-06",2051.9150395,2055.7399905,0.99813937997136
"2016-05-18",2063.835022,2061.6549685,1.00105742887792
"2016-07-06",2063.5599365,2119.1199955,0.973781541810759
"2016-08-17",2180.3250735,2181.465088,0.999477408780791
"2016-10-12",2146.409912,2139.2399905,1.00335162091763
"2016-11-23",2188.040039,2201.76001,0.993768634666046
"2017-01-04",2265.915039,2265.100098,1.00035978145104
"2017-02-22",2348.3450925,2370.619995,0.990603765028988
"2017-04-05",2361.5650635,2359.369995,1.00093036213254
"2017-05-24",2392.1799315,2408.5198975,0.993215764579333
"2017-07-05",2429.73999,2433.2650145,0.998551319121019
"2017-08-16",2466.9899905,2456.754883,1.00416610854051
"2017-10-11",2542.0500485,2556.745117,0.994252431185928
"2017-11-22",2584.880005,2614.0650635,0.988835374104681
"2018-01-03",2689.975098,2721.7000735,0.98834369157392
"2018-02-21",2685.869995,2737.155029,0.981263379875587
"2018-04-11",2613.964966,2677,0.976453106462458
"2018-05-23",2713.3000485,2708.204956,1.00188135410088
"2018-07-05",2711.439941,2753.664917,0.984665898984542
"2018-08-22",2844.4699705,2880.8050535,0.987387177429498
"2018-10-17",2842.784912,2774.7700195,1.02451190261608
"2019-01-09",2528.4799805,2597.375,0.973475135665817
"2019-02-20",2764.675049,2783.2750245,0.993317234072712
"2019-04-10",2878.7301025,2898.705078,0.99310900041139
"2019-05-22",2838.219971,2823.1550295,1.0053362076622
"2019-07-10",2983.6900635,2997.2000735,0.995492456403078
"2019-08-21",2908.0949705,2891.660034,1.00568356456387
"2019-10-09",2917.9400635,2950.390015,0.989001470539481
"2019-11-20",3099.419922,3130.074951,0.990206295542474
"2020-01-03",3236.7950435,3254.085083,0.994686666433424
"2020-02-19",3375.4449465,3260.1448975,1.03536654125049
"2020-04-08",2591.540039,2740.3199465,0.945707103402278
"2020-05-20",2909.744995,2984.6398925,0.974906554828205
"2020-07-01",3110.159912,3129.494995,0.993821660353862
"2020-08-19",3373.9849855,3421.2399905,0.986187754986141
"2020-10-07",3362.88501,3450.015015,0.974745036000952
"2020-11-25",3623.795044,3644.6400145,0.994280650375052
"2021-01-06",3724.194946,3757.2149655,0.991211570324509
"2021-02-17",3919.6400145,3896.1049805,1.00604065704538
"2021-04-07",4020.7700195,4107.9350585,0.9787813006392
"2021-05-19",4114.5,4145.0200195,0.992636942799692
"2021-07-07",4320.829834,4365.5598145,0.989753895857427
"2021-11-24",4688.6398925,4639.2998045,1.01063524455827
"2022-01-05",4788.3151855,4758.290039,1.00631007068798
"2022-02-16",4501.375,4390.340088,1.02529073141816
"2022-04-06",4559.1850585,4444.2348635,1.02586501355814
"2022-05-25",3990.785034,4039.6849365,0.987895119726251
"2022-07-06",3828.535034,3805.824951,1.00596719063341
