"release_date","avg_price_week_prior","avg_price_week_after","percent_change"
"2010-02-17",1082.9100345,1096.015015,1.0121016336376
"2010-04-06",1179.880005,1190.9749755,1.00940347361849
"2010-05-19",1137.5,1097.539978,0.96487031032967
"2010-07-14",1062.075012,1091.1400145,1.02736624265857
"2010-08-31",1055.039978,1074.7399905,1.01867229006558
"2010-10-12",1152.4800415,1171.460022,1.01646881491787
"2010-11-23",1193.6500245,1187.7349855,0.995044578495713
"2011-01-04",1266.0249635,1272.7649535,1.00532374178576
"2011-02-16",1325.994995,1322.4749755,0.99734537497255
"2011-04-05",1320.700012,1326.994995,1.00476639883607
"2011-05-18",1341.5250245,1322.450012,0.985781098263814
"2011-07-12",1329.5999755,1313.3399655,0.987770750376341
"2011-08-30",1167.0599975,1191.8649905,1.02125425689608
"2011-10-12",1160.109985,1209.824951,1.04285366615477
"2011-11-22",1222.3399655,1192.7700195,0.975808738293275
"2012-01-03",1261.9400025,1269.8150025,1.00624039176538
"2012-02-15",1348.7800295,1356.3150025,1.0055865099091
"2012-04-03",1417.7650145,1400.580017,0.987878811139898
"2012-05-16",1346.98999,1323.4000245,0.982486903633189
"2012-08-22",1408.4899905,1411.204956,1.00192757173875
"2012-10-04",1442.2199705,1441.949951,0.999812775092896
"2012-11-14",1401.4550175,1381.215027,0.985557873604745
"2013-01-03",1441.125,1461.720032,1.01429094075809
"2013-02-20",1525.1849975,1513.939941,0.9926270868659
"2013-04-10",1569.4299925,1571.5899655,1.00137627865551
"2013-05-22",1659.26001,1662.9799805,1.00224194549232
"2013-07-10",1631.5200195,1664.7350465,1.02035833247708
"2013-08-21",1672.2700195,1640.455017,0.980974960904034
"2013-10-09",1674.445007,1678.73999,1.00256501884627
"2013-11-20",1776.9799805,1796.534973,1.01100462172596
"2014-02-19",1829.5100095,1842.3450315,1.00701555166867
"2014-04-09",1869.625,1849.3250125,0.989142214347797
"2014-05-21",1885.2349855,1892.554993,1.00388280906959
"2014-07-09",1969.0800175,1970.724976,1.00083539444074
"2014-08-20",1958.0299685,1990.5,1.01658301048624
"2014-10-08",1953.494995,1904.8650515,0.975106184748633
"2014-11-19",2044.454956,2059.2600095,1.00724156502277
"2015-01-07",2043.830078,2011.9750365,0.984414046038909
"2015-02-18",2083.8549805,2107.2299805,1.01121719132029
"2015-04-08",2072.284912,2087.3800045,1.00728427467313
"2015-05-20",2113.705078,2116.459961,1.00130334313366
"2015-07-08",2072.329956,2093.334961,1.01013593657669
"2015-08-19",2088.3950195,1984.2199705,0.950117172265168
"2015-10-08",1956.830017,1995.2399905,1.01962867145655
"2015-11-18",2067.699951,2070.6450195,1.00142432101842
"2016-01-06",2044.5250245,1976.0249635,0.96649585591805
"2016-02-17",1877.9500125,1908.180054,1.01609736217619
"2016-04-06",2051.9150395,2055.7399905,1.00186408838883
"2016-05-18",2063.835022,2061.6549685,0.99894368809679
"2016-07-06",2063.5599365,2119.1199955,1.02692437375686
"2016-08-17",2180.3250735,2181.465088,1.00052286446359
"2016-10-12",2146.409912,2139.2399905,0.996659574920934
"2016-11-23",2188.040039,2201.76001,1.00627043872848
"2017-01-04",2265.915039,2265.100098,0.999640347945102
"2017-02-22",2348.3450925,2370.619995,1.00948536165794
"2017-04-05",2361.5650635,2359.369995,0.999070502636609
"2017-05-24",2392.1799315,2408.5198975,1.00683057565396
"2017-07-05",2429.73999,2433.2650145,1.00145078259999
"2017-08-16",2466.9899905,2456.754883,0.995851175910963
"2017-10-11",2542.0500485,2556.745117,1.00578079432727
"2017-11-22",2584.880005,2614.0650635,1.01129068213749
"2018-01-03",2689.975098,2721.7000735,1.01179378036755
"2018-02-21",2685.869995,2737.155029,1.0190943843505
"2018-04-11",2613.964966,2677,1.02411472028887
"2018-05-23",2713.3000485,2708.204956,0.998122178745835
"2018-07-05",2711.439941,2753.664917,1.01557289739725
"2018-08-22",2844.4699705,2880.8050535,1.01277393798382
"2018-10-17",2842.784912,2774.7700195,0.976074555548366
"2019-01-09",2528.4799805,2597.375,1.02724760331556
"2019-02-20",2764.675049,2783.2750245,1.00672772574366
"2019-04-10",2878.7301025,2898.705078,1.00693881495964
"2019-05-22",2838.219971,2823.1550295,0.994692116307429
"2019-07-10",2983.6900635,2997.2000735,1.00452795354493
"2019-08-21",2908.0949705,2891.660034,0.99434855578421
"2019-10-09",2917.9400635,2950.390015,1.01112084237298
"2019-11-20",3099.419922,3130.074951,1.00989056977482
"2020-01-03",3236.7950435,3254.085083,1.00534171588489
"2020-02-19",3375.4449465,3260.1448975,0.965841525835119
"2020-04-08",2591.540039,2740.3199465,1.05740984328276
"2020-05-20",2909.744995,2984.6398925,1.02573933373155
"2020-07-01",3110.159912,3129.494995,1.00621674883192
"2020-08-19",3373.9849855,3421.2399905,1.01400569510626
"2020-10-07",3362.88501,3450.015015,1.02590930250095
"2020-11-25",3623.795044,3644.6400145,1.00575224874666
"2021-01-06",3724.194946,3757.2149655,1.00886635097754
"2021-02-17",3919.6400145,3896.1049805,0.993995613394869
"2021-04-07",4020.7700195,4107.9350585,1.02167869303075
"2021-05-19",4114.5,4145.0200195,1.00741767395795
"2021-07-07",4320.829834,4365.5598145,1.01035217359129
"2021-11-24",4688.6398925,4639.2998045,0.989476673591648
"2022-01-05",4788.3151855,4758.290039,0.993729496631525
"2022-02-16",4501.375,4390.340088,0.975333112215712
"2022-04-06",4559.1850585,4444.2348635,0.974787117977216
"2022-05-25",3990.785034,4039.6849365,1.01225320383919
"2022-07-06",3828.535034,3805.824951,0.994068205515081
"2022-08-17",4230.709961,4203.4748535,0.993562520770494
"2022-10-12",3672.040039,3646.9700925,0.993172746965246
"2022-11-23",3988.5600585,3978.7399905,0.997537941548837
"2023-01-04",3834.960083,3886.3551025,1.013401709115
"2023-02-22",4060.665039,3982.585083,0.980771633402388
"2023-04-12",4108.1101075,4130.5251465,1.00545628973261
"2023-05-24",4127.9050295,4161.8500975,1.00822331612705
"2023-07-05",4404.7600095,4454.86499,1.01137518965663
"2023-08-16",4467.6799315,4415.11499,0.988234398545566
"2023-10-11",4300.209961,4361.969971,1.01436209174904
