"Date","Open.x","High.x","Low.x","Close.x","Adj.Close.x","Volume.x","release_dates","weeks_after","Open.y","High.y","Low.y","Close.y","Adj.Close.y","Volume.y","Open","High","Low","Close","Adj.Close","Volume","avg_price_week_prior","avg_price_week_after","percent_change"
"2010-02-10",1069.680054,1073.670044,1059.339966,1068.130005,1068.130005,4251450000,"2010-02-17","2010-02-24",1095.890015,1106.420044,1095.5,1105.23999,1105.23999,4168360000,1096.140015,1101.030029,1094.719971,1099.51001,1099.51001,4259230000,1082.9100345,1096.015015,1.0121016336376
"2010-03-30",1173.75,1177.829956,1168.920044,1173.27002,1173.27002,4.085e+09,"2010-04-06","2010-04-13",1195.939941,1199.040039,1188.819946,1197.300049,1197.300049,5403580000,1186.01001,1191.800049,1182.77002,1189.439941,1189.439941,4086180000,1179.880005,1190.9749755,1.00940347361849
"2010-05-12",1155.430054,1172.869995,1155.430054,1171.670044,1171.670044,5225460000,"2010-05-19","2010-05-26",1075.51001,1090.75,1065.589966,1067.949951,1067.949951,4521050000,1119.569946,1124.27002,1100.660034,1115.050049,1115.050049,6765800000,1137.5,1097.539978,0.96487031032967
"2010-07-07",1028.540039,1060.890015,1028.540039,1060.27002,1060.27002,4931220000,"2010-07-14","2010-07-21",1086.670044,1088.959961,1065.25,1069.589966,1069.589966,4747180000,1095.609985,1099.079956,1087.680054,1095.170044,1095.170044,4521050000,1062.075012,1091.1400145,1.02736624265857
"2010-08-24",1063.199951,1063.199951,1046.680054,1051.869995,1051.869995,4436330000,"2010-08-31","2010-09-07",1102.599976,1102.599976,1091.150024,1091.839966,1091.839966,3107380000,1046.880005,1055.140015,1040.880005,1049.329956,1049.329956,4038770000,1055.039978,1074.7399905,1.01867229006558
"2010-10-05",1140.680054,1162.76001,1140.680054,1160.75,1160.75,4068840000,"2010-10-12","2010-10-19",1178.640015,1178.640015,1159.709961,1165.900024,1165.900024,5600120000,1164.280029,1172.579956,1155.709961,1169.77002,1169.77002,4076170000,1152.4800415,1171.460022,1.01646881491787
"2010-11-16",1194.790039,1194.790039,1173,1178.339966,1178.339966,5116380000,"2010-11-23","2010-11-30",1182.959961,1187.400024,1174.140015,1180.550049,1180.550049,4284700000,1192.51001,1192.51001,1176.910034,1180.72998,1180.72998,4133070000,1193.6500245,1187.7349855,0.995044578495713
"2010-12-28",1259.099976,1259.900024,1256.219971,1258.51001,1258.51001,2478450000,"2011-01-04","2011-01-11",1272.579956,1277.25,1269.619995,1274.47998,1274.47998,4050750000,1272.949951,1274.119995,1262.660034,1270.199951,1270.199951,4796420000,1266.0249635,1272.7649535,1.00532374178576
"2011-02-09",1322.47998,1324.540039,1314.890015,1320.880005,1320.880005,3922240000,"2011-02-16","2011-02-23",1315.439941,1317.910034,1299.550049,1307.400024,1307.400024,1330340000,1329.51001,1337.609985,1329.51001,1336.319946,1336.319946,1966450000,1325.994995,1322.4749755,0.99734537497255
"2011-03-29",1309.369995,1319.449951,1305.26001,1319.439941,1319.439941,3482580000,"2011-04-05","2011-04-12",1321.959961,1321.959961,1309.51001,1314.160034,1314.160034,4275490000,1332.030029,1338.209961,1330.030029,1332.630005,1332.630005,3852280000,1320.700012,1326.994995,1.00476639883607
"2011-05-11",1354.51001,1354.51001,1336.359985,1342.079956,1342.079956,3846250000,"2011-05-18","2011-05-25",1316.359985,1325.859985,1311.800049,1320.469971,1320.469971,4109670000,1328.540039,1341.819946,1326.589966,1340.680054,1340.680054,3922030000,1341.5250245,1322.450012,0.985781098263814
"2011-07-05",1339.589966,1340.890015,1334.300049,1337.880005,1337.880005,3722320000,"2011-07-12","2011-07-19",1307.069946,1328.140015,1307.069946,1326.72998,1326.72998,4304600000,1319.609985,1327.170044,1313.329956,1313.640015,1313.640015,4227890000,1329.5999755,1313.3399655,0.987770750376341
"2011-08-23",1124.359985,1162.349976,1124.359985,1162.349976,1162.349976,5013170000,"2011-08-30","2011-09-06",1173.969971,1173.969971,1140.130005,1165.23999,1165.23999,5103980000,1209.76001,1220.099976,1195.77002,1212.920044,1212.920044,4572570000,1167.0599975,1191.8649905,1.02125425689608
"2011-10-05",1124.030029,1146.069946,1115.680054,1144.030029,1144.030029,2510620000,"2011-10-12","2011-10-19",1223.459961,1229.640015,1206.310059,1209.880005,1209.880005,4846390000,1196.189941,1220.25,1196.189941,1207.25,1207.25,5355360000,1160.109985,1209.824951,1.04285366615477
"2011-11-15",1251.699951,1264.25,1244.339966,1257.810059,1257.810059,3599300000,"2011-11-22","2011-11-29",1192.560059,1203.670044,1191.800049,1195.189941,1195.189941,3992650000,1192.97998,1196.810059,1181.650024,1188.040039,1188.040039,3911710000,1222.3399655,1192.7700195,0.975808738293275
"2011-12-27",1265.02002,1269.369995,1262.300049,1265.430054,1265.430054,2130590000,"2012-01-03","2012-01-10",1280.77002,1296.459961,1280.77002,1292.079956,1292.079956,4221960000,1258.859985,1284.619995,1258.859985,1277.060059,1277.060059,3943710000,1261.9400025,1269.8150025,1.00624039176538
"2012-02-08",1347.040039,1351,1341.949951,1349.959961,1349.959961,4096730000,"2012-02-15","2012-02-22",1362.109985,1362.699951,1355.530029,1357.660034,1357.660034,3633710000,1350.52002,1355.869995,1340.800049,1343.22998,1343.22998,4080340000,1348.7800295,1356.3150025,1.0055865099091
"2012-03-27",1416.550049,1419.150024,1411.949951,1412.52002,1412.52002,3513640000,"2012-04-03","2012-04-10",1382.180054,1383.01001,1357.380005,1358.589966,1358.589966,4631730000,1418.97998,1419,1404.619995,1413.380005,1413.380005,3822090000,1417.7650145,1400.580017,0.987878811139898
"2012-05-09",1363.199951,1363.72998,1343.130005,1354.579956,1354.579956,4288540000,"2012-05-16","2012-05-23",1316.02002,1320.709961,1296.530029,1318.859985,1318.859985,4108330000,1330.780029,1341.780029,1324.790039,1324.800049,1324.800049,4280420000,1346.98999,1323.4000245,0.982486903633189
